"o_net_soc_code","title","distance"
"13-2052.00","Personal Financial Advisors",0
"41-3031.01","Sales Agents, Securities and Commodities",6.91236086339432
"41-3031.02","Sales Agents, Financial Services",8.68412683791594
"41-3021.00","Insurance Sales Agents",8.78986276220586
"11-3031.02","Financial Managers, Branch or Department",9.163548121538
"13-2011.02","Auditors",9.31292171530791
"13-2072.00","Loan Officers",9.32363622024877
"13-1131.00","Fundraisers",9.41792979972899
"11-9199.03","Investment Fund Managers",9.84028424688522
"11-2031.00","Public Relations and Fundraising Managers",9.86439236706394
"13-2071.01","Loan Counselors",9.97178691049955
"41-1012.00","First-Line Supervisors of Non-Retail Sales Workers",10.1007772672069
"13-2071.00","Credit Counselors",10.164347655553
"13-1141.00","Compensation, Benefits, and Job Analysis Specialists",10.2323542162548
"13-2099.02","Risk Management Specialists",10.3823917149402
"11-2022.00","Sales Managers",10.4203745648487
"13-2081.00","Tax Examiners and Collectors, and Revenue Agents",10.463237726228
"13-1111.00","Management Analysts",10.4679498776339
"41-3099.01","Energy Brokers",10.5105351209233
"13-1161.00","Market Research Analysts and Marketing Specialists",10.5419797189559
